region,demographic-type,demographic,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
00,,,1.4345138634231829,1.5179553337519216,1.5042631112539377,1.5732366274065086,1.7271486889621606,1.7484108812974615,1.7651520912547527,1.750221761981388,1.876765670254389,1.943556734960121,1.9840982110732122,2.0097119773677914
01,,,1.171630654438054,1.1942595472611026,1.245212786820945,1.299593434343434,1.386807917479788,1.4821743839696724,1.5391829882484611,1.5459348890809566,1.665317202714665,1.7063800515907137,1.7619831460674158,1.7645410628019325
04,,,1.568052720405047,1.6395426584648303,1.6363126718849166,1.6938067937508956,1.865794701986755,1.8057809076682316,1.8499694140373466,1.8446457742957159,1.9554355968083377,2.037711370262391,2.1348794614902946,2.1329126065773445
05,,,1.141520317608594,1.3228869430852432,1.2534725774367719,1.2797076435364565,1.4119239631336407,1.480860215053763,1.498056305437717,1.4346679611650488,1.4840823529411762,1.7157923285548238,1.6940774145058248,1.7512783981517137
06,,,1.396107726835524,1.4835160980297932,1.4823937825709321,1.5515715492408655,1.698191486830522,1.7277414488107303,1.7333587256066139,1.7411473153841033,1.8762603525607595,1.9423206055929763,1.9913346087093722,1.994879180668907
08,,,1.4605989708956424,1.5359089689707592,1.520754173290938,1.5506956416170938,1.7252588249968817,1.7885982658959536,1.8064114767473483,1.7270129870129869,1.9428265579202246,1.9799103562160887,2.1137069655724585,2.1285995343422583
09,,,1.458597736853783,1.5989454456892354,1.5517884615384616,1.6091443850267377,1.6895953141640045,1.7687478617858365,1.748225152129817,1.7141522256201158,1.87937675070028,2.042604017216643,1.959102026554857,2.0641029523088568
10,,,1.646808641975309,1.7240980113636362,,,,,,,2.0798140321217247,2.229861218195837,2.153868613138686,2.203148788927335
12,,,1.811919524501839,1.8707064580253836,1.8282250477953448,1.9492883688412996,2.059152316901929,2.0722032791642486,2.059880676758682,2.0457886715773435,2.1662599103757323,2.1976863907295794,2.2137988574379497,2.2476911354646263
13,,,1.521762995697174,1.5746597706879362,1.5659269060220282,1.6481445542758686,1.8053968411641996,1.7996803472770322,1.8300721298337006,1.8375894916273938,1.9356295483999604,2.044602407354753,2.0840027985074627,2.0667053364269137
15,,,,,,,,,2.038399228543877,,,,,
16,,,1.209347387306571,1.2138860728940384,1.2378405931417977,1.4086712387483926,1.5256600831600833,1.59523834468308,1.6752757916241063,1.5479978925184403,1.6284855655466166,1.690037365716955,1.7825994919559696,1.8998153846153845
17,,,1.661886166684498,1.6932916521940489,1.6526736999812721,1.6832367081447959,1.8815531866976956,1.857693504184875,1.869878657038636,1.8313290572792364,1.976974358974359,2.0455812367384056,2.0326702914967525,2.0546950742767787
18,,,1.3177765222849969,1.4113102145459453,1.3574211309523807,1.4952737157855267,1.6271286323917902,1.652322437449556,1.689091990483743,1.6380039370078743,1.837015409570154,1.8552643726395297,1.8982087475149108,1.9626136591227719
19,,,1.114764005293339,1.2619340128755367,,1.2497495711835334,,1.464295774647887,1.4826846915460776,1.4866411629686305,1.6477079265911752,1.656864406779661,1.773091859596714,1.8630090157776107
20,,,1.1437752470992693,1.225998974095922,1.3049900426742531,1.272625456962446,,1.4937820281486829,1.5679752212389382,1.575314477112021,1.5916546503244413,1.7032745961820852,1.69026791927627,1.7397758177140754
21,,,1.244870476190476,1.3038134135855546,1.3383939835031538,1.3262013929193268,1.4444095665171899,1.5249647887323943,1.5190103703703706,1.5282159221076745,1.5935788585886985,1.713925292814182,1.7614494074749316,1.8176554283946802
22,,,1.438048614652388,1.5547220327421554,1.5771962992759452,1.5710144584024652,1.6964426358624312,1.7660944759938046,1.7642377518030343,1.799900393184797,1.8272793131204723,1.8776398508257859,2.007165479018211,2.01258190982918
23,,,,1.2850822587816806,,,,,,,,,,1.7558489347966433
24,,,1.5449166013657223,1.6512639646661469,1.696089606827187,1.7052147587511828,1.8619650477545213,1.968621682781321,1.9527764227642277,1.8742028696691908,2.032824784724822,2.1370213178294577,2.2350945179584123,2.216906066536203
25,,,1.4004518418031933,1.4636610250870243,1.441890034364261,1.562084348355664,1.676823585354256,1.7887578017963157,1.8136615575166435,1.7777813646368306,1.8797171599358506,1.9335890290407745,1.9473685655456414,1.9623765131487407
26,,,1.389834049488813,1.557954388389772,1.536554929298922,1.5915959212710458,1.764872902897814,1.7568709597215317,1.7667801079994976,1.7726534061362456,1.9010482950944354,1.9765642387455744,1.972849681528662,2.044568349993509
27,,,1.3838185275166366,1.4498341754113229,1.4910064888248018,1.5226056705514004,1.7439936831022986,1.7381866973356332,1.7332103688933198,1.6928742746615086,1.7890557039297976,1.859862804878049,1.925722353798506,1.9023372948500286
28,,,1.1868909386869233,,1.2900196206671026,1.362280325760823,1.4830591016548464,1.460256525652565,1.4774893415442918,1.4991791744840526,,1.6400278551532035,1.8012309820193637,1.7584629891560584
29,,,1.1501615662421592,1.1383157450401016,1.1620299606449156,1.2225927615571779,1.410811382113821,1.3703822422874343,1.3761585088649797,1.3292713711990818,1.3925470878006376,1.429503811304473,1.4997363169897377,1.5712163948876157
30,,,1.1546522619851454,1.2530547112462005,,,,,,,1.6200128369704754,1.7282969696969697,1.777359813084112,
31,,,1.1309005059021924,,1.2832478632478632,,,1.4589942378208485,1.5644824120603016,1.5074842462433347,1.5555375253549697,1.686872549019608,1.7713255269320842,1.7054605263157898
32,,,1.7074745547073793,1.796925041035929,1.7388361888842456,1.815383033419023,1.9087229254571025,1.9013501205464773,1.9817455621301776,1.9189539422326307,2.1111292719167905,2.1299624154347283,2.096310774493037,2.178410751565762
33,,,1.2101763110307413,,,,,,,,,,,
34,,,1.6322804344946351,1.7415895151869156,1.7125117583959075,1.7978197645662282,1.9840913736713004,1.9897013601419284,1.9875193646435925,1.9693480184875602,2.057762465307685,2.135876753507014,2.148090145912452,2.148456402994133
35,,,1.2524370015948965,1.3541142468548113,1.3522968054993934,1.3576294820717132,1.5937203791469192,,1.6108487297921479,1.61729055258467,1.684467134652202,1.7508954326923076,,
36,,,1.6885539579234143,1.7722676579925651,1.7317055273625017,1.8063507109004742,1.888991733656909,1.909153632509867,1.9480092370219841,1.929727410585494,2.023620427931184,2.0771290248213323,2.108487363680351,2.1367308435784427
37,,,1.3907710464201417,1.4645002192021044,1.4416783159279665,1.5441079860398275,1.6918929233453277,1.6632754040292228,1.6682387855267664,1.6713110245244098,1.815875924494977,1.9028437533283629,1.9066506602641058,1.8947017410332032
39,,,1.3249338374291115,1.4501608342170378,1.4186762250810174,1.4763995726495724,1.654467410601065,1.6718979669150142,1.7274485804416404,1.7028764848639673,1.8525285828237168,1.898513712374582,1.9562057920726008,1.9799158116285187
40,,,1.2102594576498158,1.3215013103706477,1.3260418784305754,1.3399229549059597,1.546400867914293,1.5894027077249802,1.6801865859808374,1.5729976999744444,1.7416889460154241,1.6969810831821717,1.8368778280542986,1.814180592991914
41,,,1.2506343808630391,1.362251497005988,1.3358832471875948,1.4519169577027553,1.6319761129207384,1.593379221337922,1.6311700064641241,1.6306460004335575,1.6808746113989639,1.8501665675193335,1.8475109409190371,1.9038399296394015
42,,,1.4117155395970478,1.5208147204317193,1.4949457120377656,1.5566408787010506,1.7197765479795346,1.7221238212382122,1.7665897488258118,1.7576060424169666,1.8685905423347968,1.9554876422930985,1.9945303258145366,2.0790233782005867
44,,,,,,,,,,,,1.9651677243880326,,
45,,,1.3270516841674622,1.443615182842154,1.4111047856253336,1.476870109546166,1.6005203045685277,1.6666470286885249,1.6644101773323055,1.6911534578495708,1.8240706051873197,1.932070752591257,1.9122232063773252,1.9675251060031242
47,,,1.1175280764635602,1.2079937589390197,1.191204347826087,1.2466560688236394,1.3803408003063373,1.4277235617998862,1.5346920821114372,1.4541371016235718,1.6524881703470031,1.7300564641744547,1.7887307911212293,1.7806992619926199
48,,,1.328365588319496,1.3989522910065808,1.4293449414201564,1.4785528076143877,1.6185459916959437,1.6531502912033884,1.655577492239948,1.6429035669997811,1.796750017609354,1.8639326684140654,1.937540642214161,1.9892971120900635
49,,,1.488315539739027,1.5324657740333985,1.4719227482481625,1.5423050847457627,1.7159746709709462,1.765591664599355,1.7211946472019466,1.7365994454247542,1.8384529038555393,1.8773029239766081,1.9321866666666667,1.9107070707070708
51,,,1.4454326086956522,1.5677508417508415,1.5710811854426103,1.617921857989597,1.8101766692647443,1.8305383022774326,1.822854356306892,1.852009703779367,1.9898878123406427,2.051474694589878,2.075431377424167,2.0691250474143383
53,,,1.2156211138145443,1.317876801097812,1.2582921063739974,1.3637506642576258,1.5503153761197694,1.5518785511363635,1.6030772844726333,1.5554277532514018,1.7636655579768323,1.7951134154244976,1.842162800246356,1.8901416207710464
55,,,1.2265585878818228,1.3426266144246117,1.3436986766202916,1.3557148709545268,1.6280438220013553,1.6225754434462105,1.6368636995827537,1.6880229293401967,1.7600182898948329,1.8602690481573596,1.876885356023287,1.9821689446560609
